tweet,country_code,geo_location,bounding_box,screen_name,favourites_count,followers_count,statuses_count,friends_count,listed_count,user_described_location,created_at,utc_offset
"For the first time in #Indian political history, @BJP4India is contesting more seats than @INCIndia.
#BJP is contesting 437 seats while #INC 423.
#LokSabhaElections2019
#Elections2019
#BattleOf2019
#Democracy
#GeneralElections2019
#BJPMission2019
#Congress",IN,"Haveli, India","[[[73.6246953, 18.2801029], [74.1954594, 18.2801029], [74.1954594, 18.7362196], [73.6246953, 18.7362196]]]",shan_india,962,16,253,171,0,"Maharashtra, India",Thu Apr 25 05:59:12 +0000 2019,
"@RepAdamSchiff @LenaDarlene2 Schiff or get off the pot, buddy. #Trump should have been impeached the day #Mueller released his report. WTF is #Congress waiting for?",US,"Middleton, WI","[[[-89.600763, 43.081683], [-89.452015, 43.081683], [-89.452015, 43.133416], [-89.600763, 43.133416]]]",cactusjoe,811,810,14044,18,51,"Middleton, WI",Thu Apr 25 05:30:24 +0000 2019,
"The arrest of @postcard_news Founder @mvmeet is an attack on Freedom of Speech, it is a barbaric act of the #Congress government which is constantly targeting Right wingers and suppressing their voice in every way possible.
We strongly demand to #ReleaseMaheshHegde
@mepratap https://t.co/4dCCD2oIvt",IN,"Sirsi, India","[[[74.817186, 14.600093], [74.858997, 14.600093], [74.858997, 14.635517], [74.817186, 14.635517]]]",shishir_heg,5182,5781,22977,2083,38,Sirsi,Thu Apr 25 04:53:19 +0000 2019,
I guess the #GOP #Congress is “being the change they want to see in the world.” And that world is a moral garbage dump. #ImpeachTrumpNow,US,"Seattle, WA","[[[-122.436232, 47.4953154], [-122.2249728, 47.4953154], [-122.2249728, 47.734319], [-122.436232, 47.734319]]]",VeryBentley,1241,474,3043,995,52,"Seattle, WA",Thu Apr 25 04:39:18 +0000 2019,
"You have to watch this video if you are going to cast your vote.
#Vote #Election #LokSabhaElections2019 #LokSabhaElections #BJP #Congress #AAP #SamajvadiParty #BSP #TMC #TDP #JDu @SpokespersonECI @narendramodi @RahulGandhi @yadavakhilesh @ArvindKejriwal @MamataOfficial @Mayawati https://t.co/5ASNgDi1nD",IN,"Noida, India","[[[77.302126, 28.443981], [77.695326, 28.443981], [77.695326, 28.647131], [77.302126, 28.647131]]]",shailfilm,9384,3188,7572,58,75,"Mumbai, New Delhi",Thu Apr 25 04:34:49 +0000 2019,
"A crime was committed against all Americans, and all Americans should #demand action and #Accountability. #Congress
Mueller documented a serious crime. We must be fearless in response.
https://t.co/4iUnQiJytG",US,"Portland, OR","[[[-122.7900653, 45.421863], [-122.471751, 45.421863], [-122.471751, 45.6509405], [-122.7900653, 45.6509405]]]",pedsnursemarcia,10475,559,4508,2245,14,,Thu Apr 25 04:16:06 +0000 2019,
The big-curtain left in #LokSabha2019 is whether #PriyankaGandhi will contest against Prime Minister #NarendraModi from #Varanasi... Who do you think will win if this happens @priyankagandhi OR @narendramodi? #Congress #BJP,IN,"Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",THE_BRAHMASTRA,27,44,457,128,0,India,Thu Apr 25 03:29:32 +0000 2019,
Excited to support @stephaniebice #TeamBice #Congress,US,"Oklahoma, USA","[[[-103.0026515, 33.615765], [-94.431332, 33.615765], [-94.431332, 37.002328], [-103.0026515, 37.002328]]]",etslavin,4481,446,1710,1836,10,"Oklahoma City, OK",Thu Apr 25 03:19:16 +0000 2019,
I and many others were surprised when we were reminded that many foreign born are allowed and elected to #Congress. Tell me this isn’t an #invasion No wonder #borderSecurity is no priority to Congress! https://t.co/Hx6zbcU4Yh,US,"Gardner, MA","[[[-72.046012, 42.535734], [-71.934819, 42.535734], [-71.934819, 42.614744], [-72.046012, 42.614744]]]",Devildog771,53136,1889,73604,844,81,USA,Wed Apr 24 22:22:42 +0000 2019,
"Only a psychopath would ever think of doing this type of thing not a cricketer     #gautamgambhir #AAP #Congress @yadavakhilesh 
Lok Sabha elections 2019: With assets worth Rs 147-cr, Gautam Gambhir richest of all Delhi candidates via @htTweets https://t.co/zG8Y8V0V2g",IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",NadeemA69194447,131,12,85,233,0,"New Delhi, India",Wed Apr 24 21:14:31 +0000 2019,
