tweet,country_code,geo_location,bounding_box,screen_name,favourites_count,followers_count,statuses_count,friends_count,listed_count,user_described_location,created_at,utc_offset
"According to you, 
Who will win the upcoming #LokSabhaElections2019 ??

RT for #BJP 
Like for #Congress 

#AbkiBaarKiskiSarkar #NarendraModi #RahulGandhi @narendramodi @RahulGandhi @BJP4India @INCIndia #IndiaElects #IPL2019 #VoiceFirst #LokSabhaPolls2019 #CSK #SRH #2019Elections",IN,India,"[[[67.997691, 6.622513], [97.170672, 6.622513], [97.170672, 33.254896], [67.997691, 33.254896]]]",Jagtarbhangal,4888,4122,607,6,2,India,Sat May 04 03:17:45 +0000 2019,
"@MehboobaMufti You love to frame #ModiWave 
#ModiJahanVikasWahan 
#BJP",IN,"Mumbai, India","[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]",VU3UJM,2599,754,5905,1598,65,mumbai,Fri May 03 23:49:22 +0000 2019,
"Hahaha
#BJP knows that he can not win without #Advertisement.

@INCIndia @sonamJain001 @1947democracy @ndtv @ndtvindia @ndtvfeed https://t.co/OlgzCZpHF3",IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",KA_FAROOQUI,116,105,213,410,0,"Haryana, India",Fri May 03 21:28:21 +0000 2019,
Haha 😂 . World knows it. Please don’t try to make people fool. #bjp https://t.co/E5pZjaEg84,CA,"Toronto, Ontario","[[[-79.639319, 43.403221], [-78.90582, 43.403221], [-78.90582, 43.855401], [-79.639319, 43.855401]]]",RudaniIshan,1438,36,96,236,0,"Toronto, Ontario",Fri May 03 21:07:18 +0000 2019,
@INCMumbai #bjp insults #IndianArmy stops #TejBahadur from contesting in #Varanasi #LokSabhaEelctions2019,GR,"Alexandroupoli, Greece","[[[25.6188954, 40.8317386], [26.0637476, 40.8317386], [26.0637476, 41.1105721], [25.6188954, 41.1105721]]]",VirendrasingR,18709,84,2341,146,0,"Alexandroupoli, Greece",Fri May 03 20:23:48 +0000 2019,
#ElectionCommission gives clean chit to #BJP chief #AmitShah's  speechs at #Nagpur on 9th April and #Nadia #WestBengal on 22nd April. Says #ECI is of the considered view that in this matters no such violation of #ModelCodeOfConduct or ECI's instructions is made out.,IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",anupamjourno,3605,252,4047,2052,4,"New Delhi, India",Fri May 03 18:20:37 +0000 2019,
@AJUpFront @mehdirhasan To tell foolishness with great confidence is the trade mark of #BJP members..,IN,"Guruvayoor-Manattala-Perakam-Edakkazhiyur, India","[[[75.954762, 10.343446], [76.136058, 10.343446], [76.136058, 10.695807], [75.954762, 10.695807]]]",riyazn123,4222,127,6953,861,24,,Fri May 03 17:55:30 +0000 2019,
"#ElectionCommission issues notice to #BJP leader &amp; Union #Minister  @dr_maheshsharma for his remarks against #RahulGandhi, #MamataBanerjee, HD #DeveGowda &amp; #Kumaraswamy during a speech at #Sikandarabad, #UttarPradesh on 16th March. #ECI has him asked to reply within 24 hours https://t.co/pyL14NUpyI",IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",anupamjourno,3605,252,4047,2052,4,"New Delhi, India",Fri May 03 17:47:26 +0000 2019,
"Good  News:
Modiji survived the storm..

Bad News:
His Promises gone with the wind.

#Fani #ModiOnAajTak #BJP #JaayegaTohModiHi https://t.co/f3FstHL5xa",IN,"New Delhi, India","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]",mailtoasiddiqui,53,36,197,188,0,"नई दिल्ली, भारत",Fri May 03 16:59:09 +0000 2019,
"#CycloneFani will affect 4 non #BJP states
#Odisha ,#WestBengal ,#Kerala and #AndhraPradesh 
..Is this a coincidence or planned conspiracy ????

#RahulToNDTV statement awaited!!",IN,"Ahmadabad City, India","[[[72.4367386, 22.9232559], [72.7037246, 22.9232559], [72.7037246, 23.1046616], [72.4367386, 23.1046616]]]",NishidhPatelBJP,6188,741,11802,37,13,Ahmedabad Gujarat,Fri May 03 16:15:18 +0000 2019,
